record_type	name	accession	local_path	record_count	total_bp	source_url	download_date	notes
bacterium	Escherichia coli ECOR_57	GCA_014450875.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_57_GCA_014450875.1.fasta	185	5217787	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/450/875/GCA_014450875.1_PDT000827783.1/GCA_014450875.1_PDT000827783.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-57 and full genome representation.
bacterium	Escherichia coli ECOR_59	GCA_012530595.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_59_GCA_012530595.1.fasta	94	4805529	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/595/GCA_012530595.1_PDT000619940.1/GCA_012530595.1_PDT000619940.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-59 and full genome representation.
bacterium	Escherichia coli ECOR_60	GCA_014464465.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_60_GCA_014464465.1.fasta	140	4993216	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/465/GCA_014464465.1_PDT000827786.1/GCA_014464465.1_PDT000827786.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-60 and full genome representation.
bacterium	Escherichia coli ECOR_61	GCA_012530495.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_61_GCA_012530495.1.fasta	122	4880120	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/495/GCA_012530495.1_PDT000619942.1/GCA_012530495.1_PDT000619942.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-61 and full genome representation.
bacterium	Escherichia coli ECOR_62	GCA_012530635.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_62_GCA_012530635.1.fasta	141	5042533	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/635/GCA_012530635.1_PDT000619943.1/GCA_012530635.1_PDT000619943.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-62 and full genome representation.
bacterium	Escherichia coli ECOR_63	GCA_014464365.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_63_GCA_014464365.1.fasta	124	4989034	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/464/365/GCA_014464365.1_PDT000827787.1/GCA_014464365.1_PDT000827787.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-63 and full genome representation.
bacterium	Escherichia coli ECOR_64	GCA_012530695.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_64_GCA_012530695.1.fasta	155	5126882	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/695/GCA_012530695.1_PDT000619945.1/GCA_012530695.1_PDT000619945.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-64 and full genome representation.
bacterium	Escherichia coli ECOR_65	GCA_012530375.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_65_GCA_012530375.1.fasta	100	5030379	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/375/GCA_012530375.1_PDT000619951.1/GCA_012530375.1_PDT000619951.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-65 and full genome representation.
bacterium	Escherichia coli ECOR_66	GCA_012530785.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_66_GCA_012530785.1.fasta	57	4769041	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/785/GCA_012530785.1_PDT000619952.1/GCA_012530785.1_PDT000619952.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-66 and full genome representation.
bacterium	Escherichia coli ECOR_67	GCA_014463245.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_67_GCA_014463245.1.fasta	74	4809461	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/463/245/GCA_014463245.1_PDT000827790.1/GCA_014463245.1_PDT000827790.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-67 and full genome representation.
bacterium	Escherichia coli ECOR_68	GCA_012530195.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_68_GCA_012530195.1.fasta	158	5055468	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/195/GCA_012530195.1_PDT000619954.1/GCA_012530195.1_PDT000619954.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-68 and full genome representation.
bacterium	Escherichia coli ECOR_69	GCA_014463205.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_69_GCA_014463205.1.fasta	89	4648800	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/463/205/GCA_014463205.1_PDT000827792.1/GCA_014463205.1_PDT000827792.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-69 and full genome representation.
bacterium	Escherichia coli ECOR_71	GCA_012504355.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_71_GCA_012504355.1.fasta	174	4845807	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/504/355/GCA_012504355.1_PDT000619957.1/GCA_012504355.1_PDT000619957.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-71 and full genome representation.
bacterium	Escherichia coli ECOR_72	GCA_014463125.1	data/curation/downloads/bacteria/Escherichia_coli_ECOR_72_GCA_014463125.1.fasta	214	5075392	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/463/125/GCA_014463125.1_PDT000827795.1/GCA_014463125.1_PDT000827795.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=ECOR-72 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_2	GCA_032750595.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_2_GCA_032750595.1.fasta	410	5817125	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/750/595/GCA_032750595.1_PDT001940508.1/GCA_032750595.1_PDT001940508.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-2 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_4	GCA_032746235.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_4_GCA_032746235.1.fasta	281	5569675	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/746/235/GCA_032746235.1_PDT001940606.1/GCA_032746235.1_PDT001940606.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-4 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_5	GCA_032742255.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_5_GCA_032742255.1.fasta	214	5553861	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/742/255/GCA_032742255.1_PDT001940652.1/GCA_032742255.1_PDT001940652.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-5 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_6	GCA_032746015.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_6_GCA_032746015.1.fasta	264	5670561	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/746/015/GCA_032746015.1_PDT001940647.1/GCA_032746015.1_PDT001940647.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-6 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_7	GCA_032746055.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_7_GCA_032746055.1.fasta	239	5404411	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/746/055/GCA_032746055.1_PDT001940629.1/GCA_032746055.1_PDT001940629.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-7 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_8	GCA_032743735.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_8_GCA_032743735.1.fasta	196	5335527	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/735/GCA_032743735.1_PDT001940545.1/GCA_032743735.1_PDT001940545.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-8 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_10	GCA_032743755.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_10_GCA_032743755.1.fasta	254	5663501	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/755/GCA_032743755.1_PDT001940539.1/GCA_032743755.1_PDT001940539.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-10 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_12	GCA_032743795.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_12_GCA_032743795.1.fasta	312	5602182	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/795/GCA_032743795.1_PDT001940534.1/GCA_032743795.1_PDT001940534.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-12 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_13	GCA_032764725.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_13_GCA_032764725.1.fasta	222	5618605	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/764/725/GCA_032764725.1_PDT001940533.1/GCA_032764725.1_PDT001940533.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-13 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_14	GCA_032743815.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_14_GCA_032743815.1.fasta	126	5662904	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/815/GCA_032743815.1_PDT001940532.1/GCA_032743815.1_PDT001940532.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-14 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_15	GCA_032743855.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_15_GCA_032743855.1.fasta	256	5641603	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/855/GCA_032743855.1_PDT001940529.1/GCA_032743855.1_PDT001940529.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-15 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_16	GCA_032764785.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_16_GCA_032764785.1.fasta	119	5587657	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/764/785/GCA_032764785.1_PDT001940528.1/GCA_032764785.1_PDT001940528.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-16 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_17	GCA_032738925.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_17_GCA_032738925.1.fasta	245	5638078	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/738/925/GCA_032738925.1_PDT001940525.1/GCA_032738925.1_PDT001940525.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-17 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_18	GCA_032750515.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_18_GCA_032750515.1.fasta	125	5594672	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/750/515/GCA_032750515.1_PDT001940523.1/GCA_032750515.1_PDT001940523.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-18 and full genome representation.
bacterium	Klebsiella pneumoniae K_pneumoniae_19	GCA_032738905.1	data/curation/downloads/bacteria/Klebsiella_pneumoniae_K_pneumoniae_19_GCA_032738905.1.fasta	132	5676031	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/738/905/GCA_032738905.1_PDT001940522.1/GCA_032738905.1_PDT001940522.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-19 and full genome representation.
bacterium	Escherichia coli E_coli_1	GCA_055734145.1	data/curation/downloads/bacteria/Escherichia_coli_E_coli_1_GCA_055734145.1.fasta	102	4867481	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/145/GCA_055734145.1_PDT003135332.1/GCA_055734145.1_PDT003135332.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_1 and full genome representation.
bacterium	Escherichia coli E_coli_2	GCA_055734185.1	data/curation/downloads/bacteria/Escherichia_coli_E_coli_2_GCA_055734185.1.fasta	79	4952256	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/185/GCA_055734185.1_PDT003135331.1/GCA_055734185.1_PDT003135331.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_2 and full genome representation.
bacterium	Escherichia coli E_coli_3	GCA_055734295.1	data/curation/downloads/bacteria/Escherichia_coli_E_coli_3_GCA_055734295.1.fasta	96	5076038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/295/GCA_055734295.1_PDT003135320.1/GCA_055734295.1_PDT003135320.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_3 and full genome representation.
bacterium	Escherichia coli E_coli_5	GCA_055734425.1	data/curation/downloads/bacteria/Escherichia_coli_E_coli_5_GCA_055734425.1.fasta	136	5041048	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/425/GCA_055734425.1_PDT003135306.1/GCA_055734425.1_PDT003135306.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_5 and full genome representation.
bacterium	Escherichia coli E_coli_6	GCA_055734465.1	data/curation/downloads/bacteria/Escherichia_coli_E_coli_6_GCA_055734465.1.fasta	144	5082490	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/465/GCA_055734465.1_PDT003135305.1/GCA_055734465.1_PDT003135305.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_6 and full genome representation.
bacterium	Pseudomonas aeruginosa P_aeruginosa_3	GCA_032743355.1	data/curation/downloads/bacteria/Pseudomonas_aeruginosa_P_aeruginosa_3_GCA_032743355.1.fasta	291	6915975	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/355/GCA_032743355.1_PDT001940587.1/GCA_032743355.1_PDT001940587.1_genomic.fna.gz	2026-06-08	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=P. aeruginosa-3 and full genome representation.
